Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2014-08-08,20:30,Reims,2–2,Paris S-G,18540,Stade Auguste-Delaune II,Stéphane Lannoy,Match Report,
1,Sat,2014-08-09,21:00,Nice,3–2,Toulouse,19474,Stade de Nice,Franck Schneider,Match Report,
1,Sat,2014-08-09,21:00,Guingamp,0–2,Saint-Étienne,16852,Stade du Roudourou,Mikael Lesage,Match Report,
1,Sat,2014-08-09,21:00,Nantes,1–0,Lens,27964,Stade de la Beaujoire - Louis Fonteneau,Sébastien Desiage,Match Report,
1,Sat,2014-08-09,21:00,Evian,0–3,Caen,9915,Parc des Sports,Saïd Ennjimi,Match Report,
1,Sat,2014-08-09,21:00,Lille,0–0,Metz,34327,Stade Pierre-Mauroy,Frédy Fautrel,Match Report,
1,Sat,2014-08-09,21:00,Montpellier,0–1,Bordeaux,15190,Stade de la Mosson,Wilfried Bien,Match Report,
1,Sat,2014-08-09,21:00,Bastia,3–3,Marseille,15534,Stade Armand Césari,Lionel Jaffredo,Match Report,
1,Sun,2014-08-10,17:00,Lyon,2–0,Rennes,27811,Matmut Stadium de Gerland,Benoît Millot,Match Report,
1,Sun,2014-08-10,21:00,Monaco,1–2,Lorient,13960,Stade Louis II.,Ruddy Buquet,Match Report,
2,Fri,2014-08-15,20:30,Caen,0–1,Lille,14353,Stade Michel d'Ornano,Sébastien Desiage,Match Report,
2,Sat,2014-08-16,17:00,Paris S-G,2–0,Bastia,45258,Parc des Princes,Amaury Delerue,Match Report,
2,Sat,2014-08-16,20:00,Metz,1–1,Nantes,20335,Stade Saint-Symphorien,Alexandre Castro,Match Report,
2,Sat,2014-08-16,20:00,Toulouse,2–1,Lyon,13275,Stadium Municipal,Bartolomeu Varela,Match Report,
2,Sat,2014-08-16,20:00,Lens,0–1,Guingamp,9512,Stade de la Licorne,Sébastien Moreira,Match Report,
2,Sat,2014-08-16,20:00,Rennes,6–2,Evian,17591,Roazhon Park,Olivier Thual,Match Report,
2,Sat,2014-08-16,20:00,Lorient,0–0,Nice,13735,Stade Yves Allainmat - Le Moustoir,Saïd Ennjimi,Match Report,
2,Sun,2014-08-17,17:00,Saint-Étienne,3–1,Reims,33810,Stade Geoffroy-Guichard,Antony Gautier,Match Report,
2,Sun,2014-08-17,17:00,Marseille,0–2,Montpellier,52902,Orange Vélodrome,Clément Turpin,Match Report,
2,Sun,2014-08-17,21:00,Bordeaux,4–1,Monaco,28285,Stade Jacques Chaban-Delmas,Tony Chapron,Match Report,
3,Fri,2014-08-22,20:30,Evian,0–0,Paris S-G,14600,Parc des Sports,Benoît Bastien,Match Report,
3,Sat,2014-08-23,17:00,Guingamp,0–1,Marseille,16901,Stade du Roudourou,Benoît Millot,Match Report,
3,Sat,2014-08-23,20:00,Reims,0–2,Caen,12015,Stade Auguste-Delaune II,Wilfried Bien,Match Report,
3,Sat,2014-08-23,20:00,Nice,1–3,Bordeaux,22712,Stade de Nice,Stéphane Lannoy,Match Report,
3,Sat,2014-08-23,20:00,Bastia,1–0,Toulouse,13797,Stade Armand Césari,Sébastien Moreira,Match Report,
3,Sat,2014-08-23,20:00,Montpellier,2–0,Metz,12337,Stade de la Mosson,Antony Gautier,Match Report,
3,Sat,2014-08-23,20:00,Lille,2–0,Lorient,34860,Stade Pierre-Mauroy,Tony Chapron,Match Report,
3,Sun,2014-08-24,14:00,Lyon,0–1,Lens,24636,Matmut Stadium de Gerland,Lionel Jaffredo,Match Report,
3,Sun,2014-08-24,17:00,Saint-Étienne,0–0,Rennes,30967,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
3,Sun,2014-08-24,21:00,Nantes,0–1,Monaco,27042,Stade de la Beaujoire - Louis Fonteneau,Amaury Delerue,Match Report,
4,Fri,2014-08-29,20:30,Marseille,4–0,Nice,41413,Orange Vélodrome,Bartolomeu Varela,Match Report,
4,Sat,2014-08-30,17:00,Monaco,1–1,Lille,9495,Stade Louis II.,Saïd Ennjimi,Match Report,
4,Sat,2014-08-30,20:00,Nantes,1–0,Montpellier,21559,Stade de la Beaujoire - Louis Fonteneau,Franck Schneider,Match Report,
4,Sat,2014-08-30,20:00,Lens,4–2,Reims,9846,Stade de la Licorne,Benoît Bastien,Match Report,
4,Sat,2014-08-30,20:00,Lorient,4–0,Guingamp,13025,Stade Yves Allainmat - Le Moustoir,Sébastien Desiage,Match Report,
4,Sat,2014-08-30,20:00,Caen,0–1,Rennes,12767,Stade Michel d'Ornano,Alexandre Castro,Match Report,
4,Sat,2014-08-30,20:00,Toulouse,1–0,Evian,10206,Stadium Municipal,Benoît Millot,Match Report,
4,Sun,2014-08-31,14:00,Bordeaux,1–1,Bastia,21917,Stade Jacques Chaban-Delmas,Frédy Fautrel,Match Report,
4,Sun,2014-08-31,17:00,Metz,2–1,Lyon,20173,Stade Saint-Symphorien,Ruddy Buquet,Match Report,
4,Sun,2014-08-31,21:00,Paris S-G,5–0,Saint-Étienne,46088,Parc des Princes,Clément Turpin,Match Report,
5,Fri,2014-09-12,20:30,Lyon,2–1,Monaco,34099,Matmut Stadium de Gerland,Benoît Bastien,Match Report,
5,Sat,2014-09-13,17:00,Rennes,1–1,Paris S-G,27194,Roazhon Park,Antony Gautier,Match Report,
5,Sat,2014-09-13,20:00,Reims,2–0,Toulouse,11019,Stade Auguste-Delaune II,Alexandre Castro,Match Report,
5,Sat,2014-09-13,20:00,Nice,1–0,Metz,18019,Stade de Nice,Tony Chapron,Match Report,
5,Sat,2014-09-13,20:00,Saint-Étienne,1–0,Caen,26293,Stade Geoffroy-Guichard,Sébastien Moreira,Match Report,
5,Sat,2014-09-13,20:00,Bastia,1–1,Lens,12479,Stade Armand Césari,Wilfried Bien,Match Report,
5,Sat,2014-09-13,20:00,Montpellier,1–0,Lorient,12106,Stade de la Mosson,Frédy Fautrel,Match Report,
5,Sun,2014-09-14,14:00,Lille,2–0,Nantes,32560,Stade Pierre-Mauroy,Lionel Jaffredo,Match Report,
5,Sun,2014-09-14,17:00,Guingamp,2–1,Bordeaux,12912,Stade du Roudourou,Olivier Thual,Match Report,
5,Sun,2014-09-14,21:00,Evian,1–3,Marseille,12967,Parc des Sports,Amaury Delerue,Match Report,
6,Fri,2014-09-19,20:30,Bordeaux,2–1,Evian,15103,Stade Jacques Chaban-Delmas,Bartolomeu Varela,Match Report,
6,Sat,2014-09-20,17:00,Marseille,3–0,Rennes,46153,Orange Vélodrome,Stéphane Lannoy,Match Report,
6,Sat,2014-09-20,20:00,Lorient,0–1,Reims,12004,Stade Yves Allainmat - Le Moustoir,Benoît Millot,Match Report,
6,Sat,2014-09-20,20:00,Nantes,2–1,Nice,23240,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin,Match Report,
6,Sat,2014-09-20,20:00,Toulouse,3–3,Caen,13057,Stadium Municipal,Benoît Bastien,Match Report,
6,Sat,2014-09-20,20:00,Metz,3–1,Bastia,18605,Stade Saint-Symphorien,Sébastien Desiage,Match Report,
6,Sun,2014-09-21,14:00,Lille,0–0,Montpellier,31742,Stade Pierre-Mauroy,Olivier Thual,Match Report,
6,Sun,2014-09-21,17:00,Lens,0–1,Saint-Étienne,11072,Stade de la Licorne,Saïd Ennjimi,Match Report,
6,Sun,2014-09-21,17:00,Monaco,1–0,Guingamp,6362,Stade Louis II.,Mikael Lesage,Match Report,
6,Sun,2014-09-21,21:00,Paris S-G,1–1,Lyon,45428,Parc des Princes,Ruddy Buquet,Match Report,
7,Tue,2014-09-23,19:00,Reims,0–5,Marseille,17705,Stade Auguste-Delaune II,Antony Gautier,Match Report,
7,Tue,2014-09-23,21:00,Rennes,0–3,Toulouse,17182,Roazhon Park,Frédy Fautrel,Match Report,
7,Wed,2014-09-24,19:00,Nice,1–0,Lille,16541,Stade de Nice,Amaury Delerue,Match Report,
7,Wed,2014-09-24,19:00,Evian,2–1,Lens,9864,Parc des Sports,Franck Schneider,Match Report,
7,Wed,2014-09-24,19:00,Montpellier,0–1,Monaco,11570,Stade de la Mosson,Alexandre Castro,Match Report,
7,Wed,2014-09-24,19:00,Lyon,4–0,Lorient,32523,Matmut Stadium de Gerland,Sébastien Moreira,Match Report,
7,Wed,2014-09-24,19:00,Guingamp,0–1,Metz,12712,Stade du Roudourou,Stéphane Lannoy,Match Report,
7,Wed,2014-09-24,19:00,Bastia,0–0,Nantes,11380,Stade Armand Césari,Tony Chapron,Match Report,
7,Wed,2014-09-24,21:00,Caen,0–2,Paris S-G,19988,Stade Michel d'Ornano,Wilfried Bien,Match Report,
7,Thu,2014-09-25,21:00,Saint-Étienne,1–1,Bordeaux,25510,Stade Geoffroy-Guichard,Lionel Jaffredo,Match Report,
8,Sat,2014-09-27,14:00,Monaco,0–1,Nice,8941,Stade Louis II.,Ruddy Buquet,Match Report,
8,Sat,2014-09-27,17:00,Toulouse,1–1,Paris S-G,20761,Stadium Municipal,Tony Chapron,Match Report,
8,Sat,2014-09-27,20:00,Montpellier,2–1,Guingamp,10282,Stade de la Mosson,Philippe Kalt,Match Report,
8,Sat,2014-09-27,20:00,Lorient,0–2,Evian,10391,Stade Yves Allainmat - Le Moustoir,Mikael Lesage,Match Report,
8,Sat,2014-09-27,20:00,Lille,1–0,Bastia,33558,Stade Pierre-Mauroy,Bartolomeu Varela,Match Report,
8,Sat,2014-09-27,20:00,Metz,3–0,Reims,18273,Stade Saint-Symphorien,Olivier Thual,Match Report,
8,Sun,2014-09-28,14:00,Bordeaux,2–1,Rennes,18668,Stade Jacques Chaban-Delmas,Benoît Bastien,Match Report,
8,Sun,2014-09-28,17:00,Nantes,1–1,Lyon,26077,Stade de la Beaujoire - Louis Fonteneau,Nicolas Rainville,Match Report,
8,Sun,2014-09-28,17:00,Lens,0–0,Caen,8525,Stade de la Licorne,Clément Turpin,Match Report,
8,Sun,2014-09-28,21:00,Marseille,2–1,Saint-Étienne,55367,Orange Vélodrome,Frédy Fautrel,Match Report,
9,Fri,2014-10-03,20:30,Reims,1–0,Bordeaux,14546,Stade Auguste-Delaune II,Franck Schneider,Match Report,
