Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2018-08-10,20:45,Marseille,2.8,4–0,0.3,Toulouse,60756,Orange Vélodrome,Ruddy Buquet,Match Report,
Regular Season,1,Sat,2018-08-11,17:00,Nantes,1.6,1–3,2.2,Monaco,32760,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard,Match Report,
Regular Season,1,Sat,2018-08-11,20:00,Montpellier,2.0,1–2,2.0,Dijon,12765,Stade de la Mosson,Florent Batta,Match Report,
Regular Season,1,Sat,2018-08-11,20:00,Nice,1.3,0–1,0.5,Reims,21421,Stade de Nice,Johan Hamel,Match Report,
Regular Season,1,Sat,2018-08-11,20:00,Saint-Étienne,1.0,2–1,1.9,Guingamp,26006,Stade Geoffroy-Guichard,Amaury Delerue,Match Report,
Regular Season,1,Sat,2018-08-11,20:00,Lille,1.5,3–1,0.5,Rennes,25708,Stade Pierre-Mauroy,Willy Delajod,Match Report,
Regular Season,1,Sat,2018-08-11,20:00,Angers,2.5,3–4,1.8,Nîmes,9534,Stade Raymond Kopa,Antony Gautier,Match Report,
Regular Season,1,Sun,2018-08-12,15:00,Lyon,1.0,2–0,0.5,Amiens,48263,Groupama Stadium,Franck Schneider,Match Report,
Regular Season,1,Sun,2018-08-12,17:00,Bordeaux,0.2,0–2,1.7,Strasbourg,23079,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem,Match Report,
Regular Season,1,Sun,2018-08-12,21:00,Paris S-G,2.8,3–0,0.2,Caen,47289,Parc des Princes,Benoît Bastien,Match Report,

Regular Season,2,Fri,2018-08-17,20:45,Reims,0.6,1–0,2.1,Lyon,18917,Stade Auguste-Delaune II,Ruddy Buquet,Match Report,
Regular Season,2,Sat,2018-08-18,17:00,Guingamp,1.1,1–3,2.2,Paris S-G,19003,Stade du Roudourou,Clément Turpin,Match Report,
Regular Season,2,Sat,2018-08-18,20:00,Amiens,1.2,1–2,0.3,Montpellier,10402,Stade de la Licorne,Karim Abed,Match Report,
Regular Season,2,Sat,2018-08-18,20:00,Rennes,0.5,1–0,0.5,Angers,19300,Roazhon Park,Olivier Thual,Match Report,
Regular Season,2,Sat,2018-08-18,20:00,Monaco,1.5,0–0,0.6,Lille,11140,Stade Louis II.,Thomas Léonard,Match Report,
Regular Season,2,Sat,2018-08-18,20:00,Caen,1.3,1–1,0.8,Nice,16132,Stade Michel d'Ornano,Eric Wattellier,Match Report,
Regular Season,2,Sat,2018-08-18,20:00,Dijon,3.4,2–0,0.2,Nantes,13617,Stade Gaston Gérard,Jeremy Stinat,Match Report,
Regular Season,2,Sun,2018-08-19,15:00,Strasbourg,1.0,1–1,0.7,Saint-Étienne,25385,Stade de la Meinau,Benoît Millot,Match Report,
Regular Season,2,Sun,2018-08-19,17:00,Toulouse,2.0,2–1,1.7,Bordeaux,15387,Stadium Municipal,François Letexier,Match Report,
Regular Season,2,Sun,2018-08-19,21:00,Nîmes,1.8,3–1,1.0,Marseille,15285,Stade des Costières,Benoît Bastien,Match Report,

Regular Season,3,Fri,2018-08-24,20:45,Lyon,1.5,2–0,0.7,Strasbourg,47341,Groupama Stadium,Amaury Delerue,Match Report,
Regular Season,3,Sat,2018-08-25,17:00,Paris S-G,2.0,3–1,1.7,Angers,47105,Parc des Princes,Jérôme Miguelgorry,Match Report,
Regular Season,3,Sat,2018-08-25,20:00,Amiens,1.7,4–1,0.9,Reims,10709,Stade de la Licorne,Florent Batta,Match Report,
Regular Season,3,Sat,2018-08-25,20:00,Nantes,1.5,1–1,0.4,Caen,19674,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
Regular Season,3,Sat,2018-08-25,20:00,Nice,1.9,0–4,1.2,Dijon,17923,Stade de Nice,Willy Delajod,Match Report,
Regular Season,3,Sat,2018-08-25,20:00,Toulouse,2.5,1–0,0.4,Nîmes,11746,Stadium Municipal,Franck Schneider,Match Report,
Regular Season,3,Sat,2018-08-25,20:00,Montpellier,0.9,0–0,0.3,Saint-Étienne,14777,Stade de la Mosson,Jérôme Brisard,Match Report,
Regular Season,3,Sun,2018-08-26,15:00,Lille,1.8,3–0,0.7,Guingamp,27230,Stade Pierre-Mauroy,Johan Hamel,Match Report,
Regular Season,3,Sun,2018-08-26,17:00,Bordeaux,2.6,2–1,0.7,Monaco,21607,Stade Matmut-Atlantique,Clément Turpin,Match Report,
