Data,Year,Total.Expenses,Total.Coaching.Severance,Other.Expenses,Medical,Competition.Guarantees,Recruiting,Game.Expenses.and.Travel,Facilities..Debt.Service..and.Equipment,Coaches.Compensation,Support.and.Administrative.Compensation,Athletic.Student.Aid,Total.Revenues,Other.Revenue,Corporate.Sponsorship..Advertising..Licensing,Donor.Contributions,Competition.Guarantees.1,Conference.NCAA.Distributions..Media.Rights..and.Post.Season.Football,Ticket.Sales,Institutional.Government.Support,Student.Fees,Total.Academic.Spending..University.Wide.,Total.Football.Spending,Total.Football.Coaching.Salaries,Athletics.Related.Debt,Annual.Debt.Service..Leases.and.Rental.Fees.on.Athletic.Facilities
Clemson University,2005,39977199,0,6056115,532423,2076135,720091,3998167,7811334,7145096,5554804,6083034,40445377,3809051,1356704,9377793,1473514,9365633,13422924,615616,1024142,413075870,0,0,0,0
Clemson University,2006,46863188,0,6695641,373059,2054143,814886,6880656,10030758,8003735,4947541,7062769,46430106,4226818,2733825,8830649,1394402,11173528,14716363,1947677,1406844,443249090,13376672,3171464,37685000,2558774
Clemson University,2007,54249905,0,8344363,395047,2720300,891728,5923751,13252142,8381893,6766350,7574331,56028881,4684124,3155951,11072416,1298960,11152415,20909265,2262215,1493535,476347326,13880931,3339975,36465000,2855157
Clemson University,2008,60050712,0,9695551,529315,2444692,1081669,6369459,13204813,11076866,6898498,8749849,59180652,4570234,2929444,14109137,1414151,11123692,21097510,2435268,1501216,540017269,15678243,0,0,0
Clemson University,2009,61972760,4292293,8317324,410309,2241618,1018411,6205576,13334673,9128042,7696428,9328086,61416494,2704377,3662144,13468425,3161063,12680696,21279844,2924005,1535940,533246744,19387978,3637450,33410000,3089297
Clemson University,2010,56780518,0,5311311,499895,2283672,1058628,6831307,11334506,10936282,8521616,10003301,57562999,2210938,3213036,14988354,570754,11883428,19877413,3233520,1585556,527239677,18114200,4950562,31770000,3099870
Clemson University,2011,58367884,164268,8570280,391133,1549693,1069565,6913221,8826283,11680412,8777430,10425599,61174977,2209986,4279155,14171740,1007500,13663730,20736842,3511611,1594413,542832520,17992943,0,30045000,3116693
Clemson University,2012,67783797,355986,9583234,437995,2643288,1176718,8667362,9485612,14614380,9879357,10939865,70002280,2952972,4407240,16711479,263450,19303824,21046603,3771288,1545424,546379500,0,0,25600000,1950147
Clemson University,2013,67091087,500533,8109355,498301,1576636,1299872,8247089,8214589,13372704,14032377,11239631,69061398,2821384,4777101,13972191,2304793,19486706,21942566,3756657,0,600881409,22339679,6587976,24150000,1450000
Clemson University,2014,73456221,302589,9080910,633310,1354775,1473484,10062063,7582550,15474254,14485999,13006287,74793322,3021530,4777290,19264308,254000,23115934,19984515,4375745,0,644282574,26976828,8656802,22680000,2310533
Clemson University,2015,82855674,286080,12479504,766763,1556704,1713107,8311675,13252003,15690111,15811333,12988394,83534371,4034253,8104902,19970685,301760,25042250,21889774,4190747,0,693048280,29025294,8264224,118875000,3349088
Clemson University,2016,103059980,0,14282356,529483,1799361,1867325,17045488,16711660,17691803,16655618,15364538,104823057,3956355,9529399,35639063,0,27526618,23537134,4634488,0,700134628,40877050,9992683,134450000,8891702
Clemson University,2017,111126235,169878,18562093,492827,1776484,1985838,17141487,14853696,19089916,19288892,16682991,112600964,3535405,11514471,33782757,2000,32333171,25960272,5472888,0,726715584,43921242,10931675,130605000,9762058
Clemson University,2018,118847123,195000,16535550,590917,1790244,2804471,13097206,19348314,24672825,20932696,16648982,120532975,3522266,13616788,40512301,70000,29857274,27649598,5304748,0,785376633,46283756,16703973,137900000,9332492
Clemson University,2019,131978513,0,18350167,631322,2268846,3286007,17837464,19038595,27132917,23398968,17623262,133861515,4219082,16912569,44219996,34000,34156191,28717237,5602440,0,825233018,55734030,20105750,133730000,9597204
Clemson University,2020,131781294,0,16979291,851306,2023443,2350773,16085709,19934213,26941535,26091121,18145787,129949014,1965631,12634474,43496371,13000,36045855,29867046,5926637,0,893438281,55990849,18853218,129385000,9598703
Clemson University,2021,117413403,40786,12195351,1139375,607900,297097,10211060,18675052,26761504,26617229,18172287,123132804,1057881,10456865,61975876,0,37442984,6138680,6060518,0,888610699,47981806,18221183,124850000,9598554
Clemson University,2022,143356820,514583,20264489,1686321,3252500,4315503,14045777,21302957,25363940,29870133,19334315,158283618,2922123,15904910,60859475,22000,40207257,31980356,6387497,0,888610699,54915721,14901752,191130000,11566000
Clemson University,2023,174276658,645433,24306500,1460175,2174048,4844188,19316103,28108390,33197490,32662788,21991442,195984260,4374140,22332849,84453548,0,47169013,31016873,6637837,0,888610699,66770955,20046094,176885000,12936789
