schlcode,school_enrollment,grade,classize,avgmath,avgverb,disadvantaged,female,religious
11005,54,5,28,74,71,24,1,0
11005,54,5,26,71,75,24,1,0
11006,37,5,22,64,75,38,0,1
11006,37,5,15,50,61,38,0,1
11009,32,5,32,68,74,6,0,0
11010,68,5,34,60,70,3,1,0
11010,68,5,34,62,68,3,1,0
11013,86,5,30,61,66,8,0,0
11013,86,5,26,59,70,8,0,0
11013,86,5,31,66,73,8,0,0
11015,95,5,32,77,80,6,0,0
11015,95,5,32,71,76,6,0,0
11015,95,5,31,81,85,6,0,0
11017,77,5,39,66,70,9,1,0
11017,77,5,38,69,72,9,1,0
11020,97,5,31,71,78,5,0,0
11020,97,5,33,77,78,5,0,0
11020,97,5,33,73,77,5,0,0
11021,58,5,30,58,73,11,1,0
11021,58,5,28,57,68,11,1,0
11027,97,5,34,71,81,5,1,0
11027,97,5,29,65,73,5,1,0
11027,97,5,34,64,73,5,1,0
11029,70,5,34,56,65,11,1,0
11029,70,5,36,58,74,11,1,0
11031,42,5,23,67,75,12,1,0
11031,42,5,19,64,69,12,1,0
11032,95,5,32,50,61,13,1,0
11032,95,5,31,60,69,13,1,0
11032,95,5,29,60,63,13,1,0
11034,56,5,28,65,71,11,0,0
11034,56,5,28,67,71,11,0,0
11044,11,5,17,56,69,50,0,1
11045,76,5,38,69,75,9,1,1
11045,76,5,38,67,75,9,1,1
11048,74,5,38,68,82,11,0,1
11048,74,5,36,75,76,11,0,1
11054,35,5,35,63,68,17,0,1
11058,82,5,25,63,73,13,1,1
11058,82,5,29,63,72,13,1,1
11058,82,5,26,54,76,13,1,1
11061,46,5,16,44,62,15,1,1
11061,46,5,30,57,74,15,1,1
11064,40,5,40,49,53,25,0,1
11065,20,5,20,68,74,42,0,1
11067,62,5,22,48,61,31,1,1
11067,62,5,29,52,66,31,1,1
11072,41,5,21,69,72,25,0,1
11072,41,5,20,61,72,25,0,1
11073,60,5,30,72,85,7,1,0
11073,60,5,30,65,73,7,1,0
