StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,"Major ","Interest ","Plan ",Goal,"Context ",Expected Grade,"Home "
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your major?,What is one economics research question or topic that sounds interesting to you?,Do you plan to go to graduate school?,What do you want to get out of this class?,What have you heard about this class?,What grade do you think you will get from this class?,Which US state or country are you from?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID4_TEXT""}"
2026-01-02 06:57:46,2026-01-02 07:00:08,IP Address,66.153.201.197,100,142,True,2026-01-02 07:00:08,R_3VCLqCJS4tyPC1e,,,,,33.7387,-78.9762,anonymous,EN,Economics,"Not entirely specific, but micro market trends, consumer behavior, & micro supply/demand interest me.",Maybe,Learn how to better model potential scenarios to use the knowledge in my consulting class.,That it’s a lot of modeling scenarios & group work.,A,South Carolina
2026-01-02 07:34:45,2026-01-02 07:38:36,IP Address,64.98.91.152,100,231,True,2026-01-02 07:38:36,R_13yKDml4JKd7B7P,,,,,35.9825,-78.5376,anonymous,EN,"Economics ",Public policy,Yes,"An understanding for the math that backs up theory and research ","The lab portion makes it very time intensive ",B,"North Carolina "
2026-01-02 07:52:47,2026-01-02 07:54:43,IP Address,98.97.15.116,100,115,True,2026-01-02 07:54:43,R_5hayJSHoO6ajNVw,,,,,41.8835,-87.6305,anonymous,EN,Marketing and Economics,How do you incentivize fair competition within sports? Does the lack of contracts in college sports create chaos or a free market system?,Maybe,"An A and the ability to start economic research ",It’s hard,A,"California "
2026-01-02 08:34:10,2026-01-02 08:38:30,IP Address,38.82.19.108,100,259,True,2026-01-02 08:38:30,R_3GjEq5lJxXGvaTf,,,,,41.892,-87.6416,anonymous,EN,"Finance and Economics ",How do different degrees of economic freedom affect long-term innovation and human flourishing in capitalist societies?,Yes,"To critically evaluate empirical claims, uncover faulty assumptions, data mining, or biased model specifications.",That it relies heavily on statistics and the use of R Studio,B,"Illinois "
2026-01-02 08:36:33,2026-01-02 08:40:08,IP Address,98.124.107.20,100,215,True,2026-01-02 08:40:09,R_17a5lVvE2U5OCDv,,,,,32.9668,-79.8528,anonymous,EN,Economics,How does econometrics connect to analyzing how policy affects the economy?,Maybe,I just want to understand how math an econ interact on a deeper level.,"I’ve heard that it’s hard but manageable ",B,South Carolina
2026-01-02 08:38:20,2026-01-02 08:44:48,IP Address,172.58.252.78,100,388,True,2026-01-02 08:44:49,R_6Hw38XoCqkF9HhK,,,,,35.2522,-80.8263,anonymous,EN,"Economics ","Just studying gdp and monetary policy and how that affects consumer spending and inflation ",Maybe,I want to meet new people within my major and hopefully challenge myself within this course.,Nothing about this class specifically but just that the topic of econometrics is fairly challenging.,B,"Washington State  "
2026-01-02 08:54:19,2026-01-02 08:56:07,IP Address,66.6.5.217,100,107,True,2026-01-02 08:56:07,R_6s1J4cdxc140jhc,,,,,45.2141,-96.626,anonymous,EN,"Economics ","Behavioral Economics ",No,"Learn how to use R/Strata ",N/A,A,South Dakota
2026-01-02 09:05:40,2026-01-02 09:07:41,IP Address,173.244.237.201,100,121,True,2026-01-02 09:07:42,R_53yBcMKYRsyVRoF,,,,,34.9334,-81.9689,anonymous,EN,BS Economics,Data analysis,No,"I want to gain skills to go into data analysis rolls at companies, so I guess good coding and stats knowledge.",All I have really heard is that it teaches coding with R.,A,South Carolina
