state_short,official_total_votes
AL,2323282
AK,359530
AZ,3387326
AR,1219069
CA,17500881
CO,3256980
CT,1823857
DE,504346
DC,344356
FL,11067456
GA,4999960
HI,574469
ID,868014
IL,6033744
IN,3033121
IA,1690871
KS,1372303
KY,2136768
LA,2148062
ME,819461
MD,3037030
MA,3631402
MI,5539302
MN,3277171
MS,1313759
MO,3025962
MT,603674
NE,956383
NV,1405376
NH,806205
NJ,4549353
NM,923965
NY,8594826
NC,5524804
ND,361819
OH,5922202
OK,1560699
OR,2374321
PA,6915283
RI,517757
SC,2513329
SD,422609
TN,3053851
TX,11315056
UT,1488289
VT,367428
VA,4460524
WA,4087631
WV,794731
WI,3298041
WY,276765
