year,state,county,rural,metro,overdosedeaths,percapitapills,totaldoses,PCT_MEN,PCT_WHITE,PCT_BLACK,POP_DENSITY,NP_PC,MD_PC,NP_RX,PDMP_LAW
2006,AK,"ALEUTIANS EAST (B), AK",1,0,0.469215569,0.113335852,300,66.41480922,34.07631281,1.813373631,0.00379121,188.8930865,37.7786173,1,0
2006,AK,"KETCHIKAN GATEWAY (B), AK",0,0,3.210986496,43.85833831,587000,50.44082487,72.31022116,0.81440526,0.027548107,67.24447101,283.9210998,1,0
2006,AK,"ALEUTIANS WEST (CA), AK",0,0,0.526069525,5.096392441,26700,65.10784501,44.43596106,3.760259592,0.01193318,38.17522428,38.17522428,1,0
2006,AK,"NORTH SLOPE (B), AK",0,0,1.007575875,0.188256659,1244,53.01150121,13.69552058,1.074455206,0.000745022,30.26634383,75.66585956,1,0
2006,AK,"WRANGELL-PETERSBURG (CA), AK",0,0,25,5.93832021,36200,52.26377953,71.8832021,0.246062992,0.057368718,393.7007874,180.4461942,1,0
2006,AK,"MATANUSKA-SUSITNA (B), AK",0,1,24,32.78416998,2638470,51.89860835,87.86158052,1.11332008,0.032704944,32.30616302,103.1312127,1,0
2006,AK,"KODIAK ISLAND (B), AK",0,0,1.811879179,16.92931457,221300,52.82282742,61.36780906,1.216340269,0.019958532,15.2998776,175.9485924,1,0
2006,AK,"BETHEL (CA), AK",0,0,1.271450215,0.005831924,100,53.12299528,13.76334053,0.892284365,0.004226522,46.65539161,104.9746311,1,0
2006,AK,"VALDEZ-CORDOVA (CA), AK",1,0,2.019491066,19.10453809,188600,52.8363047,74.63533225,0.344408428,0.002883188,40.51863857,70.9076175,1,0
2006,AK,"JUNEAU (B), AK",0,0,6.427513462,23.61323486,725800,50.18381755,74.46725445,0.963008752,0.113759424,55.30793506,273.2862674,1,0
2006,AK,"HAINES (B), AK",1,0,1.179865379,28.8435977,65100,50.15507311,81.6127603,0.26583961,0.009734322,44.30660168,221.5330084,1,0
2006,AK,"ANCHORAGE (B), AK",0,1,64,25.71889487,7167856,50.78937926,72.78220309,6.458916398,1.634910951,83.24363114,327.951202,1,0
2006,AK,"NORTHWEST ARCTIC (B), AK",0,0,0.811916917,0.255625083,1920,53.38836373,13.32712022,0.359472773,0.002111458,39.94141925,79.8828385,1,0
2006,AK,"SITKA (B), AK",0,0,2.024574654,22.29820628,198900,50.80717489,66.71524664,0.426008969,0.031076458,123.3183857,336.32287,1,0
2006,AK,"KENAI PENINSULA (B), AK",0,0,12,33.91710003,1774000,52.01131845,86.97422759,0.521948608,0.032536813,57.35698991,160.5995717,1,0
2006,AK,"DENALI (B), AK",1,0,0.628356031,1.354279523,2500,56.39219935,86.51137595,1.462621885,0.001447683,0,0,1,0
2006,AK,"PR OF WALES-OUTERKETCH(CA), AK",1,0,2.935203546,11.02320675,62700,54.28973277,52.14486639,0.17580872,0.011640138,70.32348805,87.90436006,1,0
2006,AK,"FAIRBANKS NORTH STAR (B), AK",0,1,12,21.31198561,1848900,52.29038431,79.66664361,5.198607557,0.118222291,50.71812251,219.0100745,1,0
2007,AK,"VALDEZ-CORDOVA (CA), AK",1,0,1.962508697,22.96756529,218100,53.38037068,74.72620051,0.421229992,0.002773374,42.12299916,94.7767481,1,0
2007,AK,"MATANUSKA-SUSITNA (B), AK",0,1,34,36.23921905,2995860,52.14409271,87.55760926,1.331817247,0.033594496,31.45072518,107.6582516,1,0
2007,AK,"SOUTHEAST FAIRBANKS (CA), AK",1,0,1.321383321,0.365497076,2500,51.78362573,80.87719298,2.923976608,0.002761538,43.85964912,58.47953216,1,0
2007,AK,"NORTH SLOPE (B), AK",0,0,1.007953846,0.213382106,1400,53.20835239,14.96723061,0.960219479,0.000739723,30.48315806,45.72473708,1,0
2007,AK,"WRANGELL-PETERSBURG (CA), AK",0,0,6.211982679,6.290564154,37800,52.37144284,72.25827925,0.332834082,0.042941366,432.6843069,199.7004493,1,0
2007,AK,"KENAI PENINSULA (B), AK",0,0,21,39.68039626,2106910,52.51709136,86.85989792,0.708137936,0.033030115,56.50036725,160.0843739,1,0
2007,AK,"ALEUTIANS WEST (CA), AK",0,0,0.589404661,6.944444444,33500,65.15339967,44.7761194,3.959369818,0.01098791,41.45936982,62.18905473,1,0
2007,AK,"NORTHWEST ARCTIC (B), AK",0,0,0.759947821,0.032201798,240,53.34764524,13.91386019,0.2549309,0.002095153,40.25224742,80.50449483,1,0
2007,AK,"PR OF WALES-OUTERKETCH(CA), AK",1,0,6.242613535,14.44805195,80100,55.03246753,54.05844156,0.18037518,0.025270643,90.18759019,90.18759019,1,0
2007,AK,"JUNEAU (B), AK",0,0,6.135783812,26.20169436,804130,50.57999348,74.5617465,1.153470186,0.113585474,55.39263604,280.2215705,1,0
2007,AK,"FAIRBANKS NORTH STAR (B), AK",0,1,20,19.36892208,1888160,52.61683969,79.58639366,5.953797546,0.132844386,45.135612,189.7747323,1,0
2007,AK,"DENALI (B), AK",1,0,0.622622843,1.904243743,3500,56.3656148,85.58215452,1.741022851,0.001441409,0,0,1,0
2007,AK,"SITKA (B), AK",0,0,1.652966749,21.81654271,193600,51.01419878,67.60198332,0.552174893,0.030916198,123.957629,304.2596349,1,0
2007,AK,"ALEUTIANS EAST (B), AK",1,0,0.461005473,0.037509377,100,65.86646662,32.74568642,1.800450113,0.003818423,187.5468867,37.50937734,1,0
2007,AK,"ANCHORAGE (B), AK",0,1,93,28.42101255,7948533,50.92769719,72.44798352,6.888451073,1.640607035,82.95461453,338.254592,1,0
2007,AK,"HAINES (B), AK",1,0,0.803667726,27.48358862,62800,50.19693654,82.14442013,0.306345733,0.009855085,43.76367615,262.5820569,1,0
2007,AK,"KETCHIKAN GATEWAY (B), AK",0,0,3.064030726,41.68745747,551400,51.20586679,72.7602631,0.997958721,0.027224956,68.04264005,257.0499735,1,0
2007,AK,"KODIAK ISLAND (B), AK",0,0,1.955850123,17.68869739,229900,52.84296376,61.52958375,1.469569901,0.019844021,15.3881665,161.5757482,1,0
2008,AK,"SITKA (B), AK",0,0,2.196616704,26.9996625,240000,51.26560918,67.63415457,0.506243672,0.030968457,123.7484531,337.4957813,1,0
2008,AK,"MATANUSKA-SUSITNA (B), AK",0,1,42,37.05118304,3166320,52.37075522,87.00414239,1.498981956,0.034727872,30.424302,105.3148915,1,0
2008,AK,"KENAI PENINSULA (B), AK",0,0,27,44.55016945,2379380,52.81319628,86.51350896,0.769533225,0.033224201,56.17030837,166.6385815,1,0
2008,AK,"KETCHIKAN GATEWAY (B), AK",0,0,3.408625484,40.72896058,535260,51.20986151,72.04382895,0.966367372,0.027050002,68.48272713,243.4941409,1,0
2008,AK,"WRANGELL-PETERSBURG (CA), AK",0,0,0.697047658,7.749576988,45800,52.26734349,71.89509306,0.304568528,4.92910759,0,236.8866328,1,0
2008,AK,"FAIRBANKS NORTH STAR (B), AK",0,1,27,20.76523426,2034370,53.13157089,80.04082883,5.948759824,0.133506673,44.91170767,185.7711544,1,0
2008,AK,"NORTHWEST ARCTIC (B), AK",0,0,0.81975451,0.031991469,240,52.82591309,13.74300187,0.479872034,0.002108928,39.98933618,66.64889363,1,0
2008,AK,"KODIAK ISLAND (B), AK",0,0,1.713795086,20.02452295,261300,53.19181546,61.80550234,1.609318722,0.019923415,15.32684497,176.2587171,1,0
2008,AK,"PR OF WALES-OUTERKETCH(CA), AK",1,0,0.152142506,17.40466293,96300,55.12380264,52.81041027,0.216880535,0.060046666,1572.383879,72.29351166,1,0
2008,AK,"SOUTHEAST FAIRBANKS (CA), AK",1,0,1.373061819,0.296164668,2000,51.76958389,80.00888494,2.857989042,0.002726413,44.42470013,59.23293351,1,0
2008,AK,"ALEUTIANS WEST (CA), AK",0,0,0.748817742,6.623978803,30000,64.98123206,42.9675425,3.908147494,0.010315971,44.15985869,44.15985869,1,0
2008,AK,"HAINES (B), AK",1,0,1.430008156,26.33201233,59800,50.24218406,81.85821224,0.308234258,0.009794704,44.03346543,352.2677235,1,0
2008,AK,"JUNEAU (B), AK",0,0,10,27.89144185,864300,50.82612624,73.9963857,1.255324642,0.114688389,54.85994579,277.5267846,1,0
2008,AK,"BETHEL (CA), AK",0,0,1.466936816,0.058540265,1009,52.58760733,13.39057786,1.148758413,0.004248459,46.41448132,87.02715247,1,0
2008,AK,"ANCHORAGE (B), AK",0,1,107,30.885759,8624632,51.02616717,72.1615224,7.167234273,1.6380963,83.08176033,334.8338186,1,0
2008,AK,"VALDEZ-CORDOVA (CA), AK",1,0,2.516423306,27.03482162,253100,53.57829524,74.53535569,0.427259133,0.002734239,42.72591327,106.8147832,1,0
2009,AK,"KENAI PENINSULA (B), AK",0,0,23,47.73310162,2609330,52.08085612,86.48312449,0.695143145,0.034005523,54.87972194,168.297814,1,0
2009,AK,"KODIAK ISLAND (B), AK",0,0,1.382850798,20.8302113,278000,53.81387682,61.2992657,1.715869924,0.020376879,14.98576352,191.0684849,1,0
2009,AK,"MATANUSKA-SUSITNA (B), AK",0,1,40,38.42111814,3395620,51.63217506,86.86678962,1.436992951,0.035914889,29.41875332,109.7545797,1,0
2009,AK,"FAIRBANKS NORTH STAR (B), AK",0,1,26,24.24427326,2391940,53.28806,79.33914454,6.355159132,0.134446956,44.59760795,190.5534158,1,0
