Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2015-08-07,20:30,Lille,0–1,Paris S-G,39601,Stade Pierre-Mauroy,Frédy Fautrel,Match Report,
1,Sat,2015-08-08,21:00,Montpellier,0–2,Angers,11789,Stade de la Mosson,Hakim Ben El Hadj Salem,Match Report,
1,Sat,2015-08-08,21:00,Nantes,1–0,Guingamp,27248,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien,Match Report,
1,Sat,2015-08-08,21:00,Troyes,0–0,Gazélec Ajaccio,10858,Stade Ange Casanova,Jérôme Miguelgorry,Match Report,
1,Sat,2015-08-08,21:00,Nice,1–2,Monaco,25173,Stade de Nice,Lionel Jaffredo,Match Report,
1,Sat,2015-08-08,21:00,Marseille,0–1,Caen,60458,Orange Vélodrome,Franck Schneider,Match Report,
1,Sat,2015-08-08,21:00,Bastia,2–1,Rennes,14702,Stade Armand Césari,Sébastien Moreira,Match Report,
1,Sun,2015-08-09,17:00,Bordeaux,1–2,Reims,31583,Stade Jacques Chaban-Delmas,Ruddy Buquet,Match Report,
1,Sun,2015-08-09,17:00,Toulouse,2–1,Saint-Étienne,15158,Stadium Municipal,Bartolomeu Varela,Match Report,
1,Sun,2015-08-09,21:00,Lyon,0–0,Lorient,28116,Matmut Stadium de Gerland,Benoît Millot,Match Report,

2,Fri,2015-08-14,20:30,Monaco,0–0,Lille,13331,Stade Louis II.,Benoît Millot,Match Report,
2,Sat,2015-08-15,17:00,Saint-Étienne,1–1,Bordeaux,34063,Stade Geoffroy-Guichard,Nicolas Rainville,Match Report,
2,Sat,2015-08-15,20:00,Rennes,1–0,Montpellier,18748,Roazhon Park,Mikael Lesage,Match Report,
2,Sat,2015-08-15,20:00,Troyes,3–3,Nice,11468,Stade de l'Aube,Johan Hamel,Match Report,
2,Sat,2015-08-15,20:00,Guingamp,0–1,Lyon,17728,Stade du Roudourou,Antony Gautier,Match Report,
2,Sat,2015-08-15,20:00,Angers,0–0,Nantes,15969,Stade Raymond Kopa,Amaury Delerue,Match Report,
2,Sat,2015-08-15,20:00,Caen,1–0,Toulouse,16791,Stade Michel d'Ornano,Stéphane Jochem,Match Report,
2,Sun,2015-08-16,14:00,Reims,1–0,Marseille,20950,Stade Auguste-Delaune II,Benoît Bastien,Match Report,
2,Sun,2015-08-16,17:00,Lorient,1–1,Bastia,12235,Stade Yves Allainmat - Le Moustoir,Clément Turpin,Match Report,
2,Sun,2015-08-16,21:00,Paris S-G,2–0,Gazélec Ajaccio,46524,Parc des Princes,Wilfried Bien,Match Report,

3,Fri,2015-08-21,20:30,Montpellier,0–1,Paris S-G,27163,Stade de la Mosson,Sébastien Moreira,Match Report,
3,Sat,2015-08-22,17:00,Lyon,1–2,Rennes,31470,Matmut Stadium de Gerland,Ruddy Buquet,Match Report,
3,Sat,2015-08-22,20:00,Toulouse,1–1,Monaco,12748,Stadium Municipal,Stéphane Lannoy,Match Report,
3,Sat,2015-08-22,20:00,Nantes,1–0,Reims,23854,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem,Match Report,
3,Sat,2015-08-22,20:00,Nice,2–1,Caen,15908,Stade de Nice,Jérôme Miguelgorry,Match Report,
3,Sat,2015-08-22,20:00,Bastia,3–0,Guingamp,13966,Stade Armand Césari,Frédy Fautrel,Match Report,
3,Sat,2015-08-22,20:00,Gazélec Ajaccio,0–2,Angers,3911,Stade Ange Casanova,Bartolomeu Varela,Match Report,
3,Sun,2015-08-23,14:00,Lille,0–0,Bordeaux,28035,Stade Pierre-Mauroy,Lionel Jaffredo,Match Report,
3,Sun,2015-08-23,17:00,Lorient,0–1,Saint-Étienne,13075,Stade Yves Allainmat - Le Moustoir,Franck Schneider,Match Report,
3,Sun,2015-08-23,21:00,Marseille,6–0,Troyes,58356,Orange Vélodrome,Tony Chapron,Match Report,

4,Fri,2015-08-28,20:30,Guingamp,2–0,Marseille,18022,Stade du Roudourou,Amaury Delerue,Match Report,
4,Sat,2015-08-29,17:00,Caen,0–4,Lyon,19795,Stade Michel d'Ornano,Nicolas Rainville,Match Report,
4,Sat,2015-08-29,20:00,Lille,1–0,Gazélec Ajaccio,27138,Stade Pierre-Mauroy,Mikael Lesage,Match Report,
