Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2016-08-12,20:00,Bastia,0–1,Paris S-G,13122,Stade Armand Césari,Franck Schneider,Match Report,
Regular Season,1,Fri,2016-08-12,20:30,Monaco,2–2,Guingamp,8019,Stade Louis II.,Jérôme Miguelgorry,Match Report,
Regular Season,1,Sat,2016-08-13,17:00,Bordeaux,3–2,Saint-Étienne,34212,Stade Matmut-Atlantique,Lionel Jaffredo,Match Report,
Regular Season,1,Sat,2016-08-13,20:00,Montpellier,1–0,Angers,10389,Stade de la Mosson,Bartolomeu Varela,Match Report,
Regular Season,1,Sat,2016-08-13,20:00,Metz,3–2,Lille,17174,Stade Saint-Symphorien,Mikael Lesage,Match Report,
Regular Season,1,Sat,2016-08-13,20:00,Dijon,0–1,Nantes,9236,Stade Gaston Gérard,Karim Abed,Match Report,
Regular Season,1,Sat,2016-08-13,20:00,Caen,3–2,Lorient,16920,Stade Michel d'Ornano,Johan Hamel,Match Report,
Regular Season,1,Sun,2016-08-14,15:00,Nancy,0–3,Lyon,18885,Stade Marcel Picot,Amaury Delerue,Match Report,
Regular Season,1,Sun,2016-08-14,17:00,Nice,1–0,Rennes,19075,Stade de Nice,Antony Gautier,Match Report,
Regular Season,1,Sun,2016-08-14,20:45,Marseille,0–0,Toulouse,37364,Orange Vélodrome,Benoît Millot,Match Report,

Regular Season,2,Fri,2016-08-19,20:45,Lyon,2–0,Caen,41171,Groupama Stadium,Benoît Millot,Match Report,
Regular Season,2,Sat,2016-08-20,17:00,Nantes,0–1,Monaco,25908,Stade de la Beaujoire - Louis Fonteneau,Stéphane Lannoy,Match Report,
Regular Season,2,Sat,2016-08-20,20:00,Lorient,0–3,Bastia,10256,Stade Yves Allainmat - Le Moustoir,Amaury Delerue,Match Report,
Regular Season,2,Sat,2016-08-20,20:00,Angers,0–1,Nice,10142,Stade Raymond Kopa,Jérôme Miguelgorry,Match Report,
Regular Season,2,Sat,2016-08-20,20:00,Rennes,2–0,Nancy,20705,Roazhon Park,Mikael Lesage,Match Report,
Regular Season,2,Sat,2016-08-20,20:00,Lille,1–0,Dijon,25548,Stade Pierre-Mauroy,Olivier Thual,Match Report,
Regular Season,2,Sat,2016-08-20,20:00,Toulouse,4–1,Bordeaux,19258,Stadium Municipal,Tony Chapron,Match Report,
Regular Season,2,Sun,2016-08-21,15:00,Guingamp,2–1,Marseille,16056,Stade du Roudourou,Benoît Bastien,Match Report,
Regular Season,2,Sun,2016-08-21,17:00,Saint-Étienne,3–1,Montpellier,23661,Stade Geoffroy-Guichard,Ruddy Buquet,Match Report,
Regular Season,2,Sun,2016-08-21,20:45,Paris S-G,3–0,Metz,46011,Parc des Princes,François Letexier,Match Report,

Regular Season,3,Fri,2016-08-26,20:45,Marseille,2–0,Lorient,26193,Orange Vélodrome,Antony Gautier,Match Report,
Regular Season,3,Sat,2016-08-27,17:00,Dijon,4–2,Lyon,10369,Stade Gaston Gérard,Johan Hamel,Match Report,
Regular Season,3,Sat,2016-08-27,20:00,Caen,2–0,Bastia,15695,Stade Michel d'Ornano,Lionel Jaffredo,Match Report,
Regular Season,3,Sat,2016-08-27,20:00,Montpellier,1–1,Rennes,9163,Stade de la Mosson,Benoît Millot,Match Report,
Regular Season,3,Sat,2016-08-27,20:00,Nice,1–1,Lille,16355,Stade de Nice,François Letexier,Match Report,
Regular Season,3,Sat,2016-08-27,20:00,Nancy,0–2,Guingamp,15587,Stade Marcel Picot,Franck Schneider,Match Report,
Regular Season,3,Sat,2016-08-27,20:00,Metz,2–0,Angers,14805,Stade Saint-Symphorien,Karim Abed,Match Report,
Regular Season,3,Sun,2016-08-28,15:00,Bordeaux,1–0,Nantes,23207,Stade Matmut-Atlantique,Benoît Bastien,Match Report,
Regular Season,3,Sun,2016-08-28,17:00,Saint-Étienne,0–0,Toulouse,23786,Stade Geoffroy-Guichard,Bartolomeu Varela,Match Report,
Regular Season,3,Sun,2016-08-28,20:45,Monaco,3–1,Paris S-G,15219,Stade Louis II.,Ruddy Buquet,Match Report,

Regular Season,4,Fri,2016-09-09,20:45,Paris S-G,1–1,Saint-Étienne,44327,Parc des Princes,Benoît Bastien,Match Report,
Regular Season,4,Sat,2016-09-10,17:00,Lyon,1–3,Bordeaux,40976,Groupama Stadium,Ruddy Buquet,Match Report,
Regular Season,4,Sat,2016-09-10,20:00,Lille,1–4,Monaco,29373,Stade Pierre-Mauroy,Tony Chapron,Match Report,
Regular Season,4,Sat,2016-09-10,20:00,Bastia,2–1,Toulouse,9966,Stade Armand Césari,Benoît Millot,Match Report,
Regular Season,4,Sat,2016-09-10,20:00,Lorient,0–2,Nancy,8323,Stade Yves Allainmat - Le Moustoir,Olivier Thual,Match Report,
Regular Season,4,Sat,2016-09-10,20:00,Angers,3–1,Dijon,9553,Stade Raymond Kopa,Mikael Lesage,Match Report,
Regular Season,4,Sat,2016-09-10,20:00,Guingamp,1–1,Montpellier,12630,Stade du Roudourou,Clément Turpin,Match Report,
Regular Season,4,Sun,2016-09-11,15:00,Nantes,0–3,Metz,19438,Stade de la Beaujoire - Louis Fonteneau,Jérôme Miguelgorry,Match Report,
Regular Season,4,Sun,2016-09-11,17:00,Rennes,2–0,Caen,20584,Roazhon Park,Amaury Delerue,Match Report,
Regular Season,4,Sun,2016-09-11,20:45,Nice,3–2,Marseille,31194,Stade de Nice,Franck Schneider,Match Report,

Regular Season,5,Fri,2016-09-16,20:45,Caen,0–6,Paris S-G,740,Stade Michel d'Ornano,Clément Turpin,Match Report,
Regular Season,5,Sat,2016-09-17,17:00,Monaco,3–0,Rennes,4000,Stade Louis II.,Franck Schneider,Match Report,
Regular Season,5,Sat,2016-09-17,20:00,Dijon,0–0,Metz,8336,Stade Gaston Gérard,Bartolomeu Varela,Match Report,
Regular Season,5,Sat,2016-09-17,20:00,Toulouse,2–1,Guingamp,12109,Stadium Municipal,Johan Hamel,Match Report,
Regular Season,5,Sat,2016-09-17,20:00,Bordeaux,0–1,Angers,18129,Stade Matmut-Atlantique,Olivier Thual,Match Report,
Regular Season,5,Sat,2016-09-17,20:00,Lorient,1–0,Lille,8926,Stade Yves Allainmat - Le Moustoir,Karim Abed,Match Report,
Regular Season,5,Sat,2016-09-17,20:00,Nancy,1–1,Nantes,17034,Stade Marcel Picot,Tony Chapron,Match Report,
Regular Season,5,Sun,2016-09-18,15:00,Montpellier,1–1,Nice,12272,Stade de la Mosson,Lionel Jaffredo,Match Report,
Regular Season,5,Sun,2016-09-18,17:00,Saint-Étienne,1–0,Bastia,22245,Stade Geoffroy-Guichard,François Letexier,Match Report,
Regular Season,5,Sun,2016-09-18,20:45,Marseille,0–0,Lyon,32564,Orange Vélodrome,Antony Gautier,Match Report,

