Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2017-08-04,20:45,Monaco,1.8,3–2,0.3,Toulouse,13572,Stade Louis II.,Clément Turpin,Match Report,
Regular Season,1,Sat,2017-08-05,17:15,Paris S-G,2.2,2–0,0.1,Amiens,46898,Parc des Princes,Mikael Lesage,Match Report,
Regular Season,1,Sat,2017-08-05,20:00,Lyon,2.2,4–0,0.3,Strasbourg,1979,Groupama Stadium,Ruddy Buquet,Match Report,
Regular Season,1,Sat,2017-08-05,20:00,Saint-Étienne,0.8,1–0,0.4,Nice,25879,Stade Geoffroy-Guichard,François Letexier,Match Report,
Regular Season,1,Sat,2017-08-05,20:00,Metz,1.1,1–3,1.7,Guingamp,14595,Stade Saint-Symphorien,Jérôme Miguelgorry,Match Report,
Regular Season,1,Sat,2017-08-05,20:00,Montpellier,0.9,1–0,0.5,Caen,14725,Stade de la Mosson,Thomas Léonard,Match Report,
Regular Season,1,Sat,2017-08-05,20:00,Troyes,1.5,1–1,2.3,Rennes,9968,Stade de l'Aube,Karim Abed,Match Report,
Regular Season,1,Sun,2017-08-06,15:00,Lille,1.9,3–0,1.2,Nantes,30683,Stade Pierre-Mauroy,Benoît Millot,Match Report,
Regular Season,1,Sun,2017-08-06,17:00,Angers,1.1,2–2,1.6,Bordeaux,11767,Stade Raymond Kopa,Sébastien Desiage,Match Report,
Regular Season,1,Sun,2017-08-06,21:00,Marseille,3.1,3–0,0.7,Dijon,50904,Orange Vélodrome,Benoît Bastien,Match Report,

Regular Season,2,Fri,2017-08-11,19:00,Nice,2.3,1–2,0.9,Troyes,24260,Stade de Nice,Olivier Thual,Match Report,
Regular Season,2,Fri,2017-08-11,20:45,Rennes,1.1,1–2,1.8,Lyon,24944,Roazhon Park,Nicolas Rainville,Match Report,
Regular Season,2,Sat,2017-08-12,17:00,Nantes,1.3,0–1,1.8,Marseille,33654,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,Match Report,
Regular Season,2,Sat,2017-08-12,20:00,Caen,0.9,0–1,1.2,Saint-Étienne,17606,Stade Michel d'Ornano,Stéphane Jochem,Match Report,
Regular Season,2,Sat,2017-08-12,20:00,Toulouse,1.7,1–0,0.8,Montpellier,11876,Stadium Municipal,Ruddy Buquet,Match Report,
Regular Season,2,Sat,2017-08-12,20:00,Bordeaux,1.8,2–0,0.4,Metz,22095,Stade Matmut-Atlantique,Mikael Lesage,Match Report,
Regular Season,2,Sat,2017-08-12,20:00,Amiens,0.7,0–2,1.8,Angers,7772,Stade de la Licorne,Hakim Ben El Hadj Salem,Match Report,
Regular Season,2,Sun,2017-08-13,15:00,Strasbourg,3.4,3–0,0.8,Lille,25591,Stade de la Meinau,Johan Hamel,Match Report,
Regular Season,2,Sun,2017-08-13,17:00,Dijon,1.4,1–4,1.6,Monaco,14295,Stade Gaston Gérard,Tony Chapron,Match Report,
Regular Season,2,Sun,2017-08-13,21:00,Guingamp,0.1,0–3,2.5,Paris S-G,18378,Stade du Roudourou,Antony Gautier,Match Report,

Regular Season,3,Fri,2017-08-18,20:45,Metz,0.8,0–1,1.8,Monaco,18136,Stade Saint-Symphorien,François Letexier,Match Report,
Regular Season,3,Sat,2017-08-19,17:00,Lyon,0.5,3–3,1.4,Bordeaux,42073,Groupama Stadium,Clément Turpin,Match Report,
Regular Season,3,Sat,2017-08-19,20:00,Montpellier,1.4,1–1,0.8,Strasbourg,12585,Stade de la Mosson,Hakim Ben El Hadj Salem,Match Report,
